OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
510,Sports Field Soil,1000134032,3,c2d124d3-6a66-4d2e-a2af-48b5ae0086f4,Winter - Soil - 1 - Football,10004,Walker Park,Albert-Eden,Walker Road,7,Auckland,6512.650390625,333.829187261472
511,Sports Field Soil,1000143074,3,a51c3da7-1502-454c-bc40-ab9d80aff3d9,Winter - Soil - 2 - Football,10586,Beachlands Domain,Franklin,Beachlands Road,35R,Auckland,2479.9931640625,203.999716753103
512,Sports Field Sand,1000143590,3,2c00680d-87d0-41cf-91bf-9e32e43f9aa7,Winter - Sand - 4 - Training,10588,Lloyd Elsmore Park,Howick,Bells Road,2R,Auckland East,4035.8974609375,257.632696206737
513,Sports Field Soil,1000139521,3,0eabf110-df0c-4319-a3c5-b2c354a4d868,Sport - Soil Sbj95,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,17073.9882049561,1649.94064883206
514,Sports Field Soil,1000139361,3,a02319f9-5aac-4c5d-9c8d-4692b38f7995,Sport - Soil Sbj01,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,818.3623046875,124.769170870139
515,Sports Field Soil,1000165424,3,b3707628-8161-409f-ae7b-35d8838393f3,Winter - Soil - 1 - Rugby Union,22987,Norana Park,Mangere-Otahuhu,Norana Avenue,21R,Auckland,8400.015625,380.000627436915
516,Sports Field Soil,1000139620,3,13cbf253-dc4c-4523-9974-6ab6c13f5211,Sport - Soil Sbj69,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,868.88671875,122.178948988744
517,Sports Field Sand,1000145319,3,b9f74aab-8217-4a8c-a6bb-fcaf7b4f4ec1,Winter - Sand - 1 - Football,10588,Lloyd Elsmore Park,Howick,Bells Road,2R,Auckland East,6499.8984375,329.997628095165
518,Sports Field Soil,1000137580,3,e9dc5c8b-45f4-470e-b467-36370f01f35f,Sport - Soil Sbj61,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,1638.8642578125,172.554588251361
519,Sports Field Soil,1000143619,3,b364da8d-b753-4cf9-b8f3-6901466b530c,Winter - Soil - 6 - Football,10535,Massey Park - Waiuku,Franklin,Belgium Street,2,Waiuku,1392.0146484375,154.000632858438
520,Sports Field Soil,1000145244,3,76f1f9ea-44fc-47f0-8b71-a3acca9c111e,Winter - Soil - 3 - Training,10619,Walter Massey Park,Mangere-Otahuhu,Massey Road,380R,Auckland,3560.6279296875,238.716454583843
521,Sports Field Soil,1000137183,3,44b6d88b-efad-4763-b5a0-1306c964277d,Winter - Soil - 2 - Rugby League,10239,Thompson Park,Maungakiekie-Tamaki,Banks Road,50,Auckland Central,3069.9599609375,229.832082072143
522,Sports Field Soil,1000153622,3,5202cd1c-29bc-433e-a154-260e511f0e58,Winter - Soil - 2 - Rugby Union,20433,Liston Park,Orakei,Michaels Ave,105,Auckland,8208.0390625,372.000828753125
523,Sports Track,1000151236,3,0bce66ab-607e-4d64-a062-48cbfbfe7a9f,Sports Track-Javelin Surface,11471,Ceramco Park,Waitakere Ranges,Glendale Road,112,Auckland,63.4951171875,30.771402306611
524,Sports Field Soil,1000139530,3,b95d97e3-f73d-4b4e-9b5e-55b1c385dd3f,Sport - Soil Sbj97,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,288.2255859375,96.8001108131163
525,Sports Field Soil,1000167469,3,b9ff1605-1e88-4c1a-a525-fd4c7c878899,Winter - Soil - 3 - Training,22987,Norana Park,Mangere-Otahuhu,Norana Avenue,21R,Auckland,10220.9267578125,505.537578511889
526,Sports Field Soil,1000138606,3,39236b26-4faa-4178-9cd5-39569f8e9aa6,Winter - Soil - 1 - General Sport,10295,Windmill Park,Albert-Eden,Windmill Road,48,Auckland,692.8935546875,109.609046561593
527,Sports Field Soil,1000135044,3,5a89c984-5ae4-431a-a7ed-5ef2910b18b8,Winter - Soil - 6 - Football,10194,Waikaraka Park,Maungakiekie-Tamaki,Neilson Street,175-243,Auckland Central,5800.4814453125,315.876893310121
528,Sports Field Soil,1000165027,3,60a766b7-759d-4fa5-8632-e231489a96de,Winter - Soil - 1 - Rugby,22754,Mansell Field,Papakura,Marne Road,34R,Auckland,7637.9921875,361.999866690731
529,Sports Field Soil,1000134041,3,169077c2-b07a-48cc-8b65-24c438fecf49,Winter - Soil - 5 - Football,10004,Walker Park,Albert-Eden,Walker Road,7,Auckland,6473.5009765625,330.918472155228
530,Sports Field Soil,1000137614,3,d6b93bc2-8ee1-4729-9a34-17d7c6c63700,Sport - Soil Sbj94,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,6094.958984375,489.996135419937
531,Sports Field Soil,1000138999,3,653391c0-f30a-436c-ba34-6938320f442e,Winter - Soil - 13 - Football,10365,Keith Hay Park,Puketapapa,Richardson Road,660,Auckland Central,2422.7431640625,200.471719513546
532,Sports Field Soil,1000139602,3,e66997ae-2f0c-4c8f-b1c3-546a027cd36e,Sport - Soil Sbj67,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,706.83984375,136.911485046891
533,Sports Field Soil,1000140086,3,5d13d3c9-be7b-4e9f-a114-b58d50b12390,Winter - Soil - 10 - Football,10365,Keith Hay Park,Puketapapa,Richardson Road,660,Auckland Central,2410.0986328125,200.326732869648
534,Sports Field Soil,1000137437,3,76c981bb-4725-4c30-bfe6-ec35f02d1b16,Sport - Soil Sbk10,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,3559.9365234375,281.352573194055
