Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2016,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,195439,nzd,NZD thousands,
2017,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,229013,nzd,NZD thousands,
2018,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,289132,nzd,NZD thousands,
2019,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,357771,nzd,NZD thousands,
2020,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,351783,nzd,NZD thousands,
2021,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,275657,nzd,NZD thousands,
2022,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,268737,nzd,NZD thousands,
2023,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,306947,nzd,NZD thousands,
2024,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,272836,nzd,NZD thousands,
2000,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,37431,nzd,NZD thousands,
2001,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,49921,nzd,NZD thousands,
2002,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,47889,nzd,NZD thousands,
2003,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,37525,nzd,NZD thousands,
2004,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,41493,nzd,NZD thousands,
2005,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,42223,nzd,NZD thousands,
2006,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,49446,nzd,NZD thousands,
2007,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,24433,nzd,NZD thousands,
2008,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,30467,nzd,NZD thousands,
2009,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,25860,nzd,NZD thousands,
2010,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,24224,nzd,NZD thousands,
2011,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,28872,nzd,NZD thousands,
2012,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,36466,nzd,NZD thousands,
2013,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,42237,nzd,NZD thousands,
2014,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,41485,nzd,NZD thousands,
2015,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,55209,nzd,NZD thousands,
2016,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,56184,nzd,NZD thousands,
2017,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,65311,nzd,NZD thousands,
2018,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,70704,nzd,NZD thousands,
2019,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,75200,nzd,NZD thousands,
2020,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,59143,nzd,NZD thousands,
2021,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,41282,nzd,NZD thousands,
2022,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,47432,nzd,NZD thousands,
2023,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,65272,nzd,NZD thousands,
2024,Imports (cost including insurance and freight),Animal originated products; not elsewhere specified or included,HS05,05,63530,nzd,NZD thousands,
2000,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,34866,nzd,NZD thousands,
2001,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,47478,nzd,NZD thousands,
2002,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,45493,nzd,NZD thousands,
2003,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,35285,nzd,NZD thousands,
2004,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,38824,nzd,NZD thousands,
2005,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,39134,nzd,NZD thousands,
2006,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,46247,nzd,NZD thousands,
2007,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,22959,nzd,NZD thousands,
2008,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,29149,nzd,NZD thousands,
2009,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,24831,nzd,NZD thousands,
2010,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,23181,nzd,NZD thousands,
2011,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,27816,nzd,NZD thousands,
2012,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,35324,nzd,NZD thousands,
2013,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,41222,nzd,NZD thousands,
2014,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,40605,nzd,NZD thousands,
2015,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,54101,nzd,NZD thousands,
2016,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,55229,nzd,NZD thousands,
2017,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,64272,nzd,NZD thousands,
2018,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,69586,nzd,NZD thousands,
2019,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,73909,nzd,NZD thousands,
2020,Imports (value for duty),Animal originated products; not elsewhere specified or included,HS05,05,57966,nzd,NZD thousands,
