Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,Architecture and building,S04,Bachelor degree,Bachelor Degree,3835,number,Number of students enrolled,
2024,Architecture and building,S04,Graduate diploma/certificate,Graduate Diploma/Certificate,170,number,Number of students enrolled,
2024,Architecture and building,S04,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,530,number,Number of students enrolled,
2024,Architecture and building,S04,Masters degree,Masters Degree,1065,number,Number of students enrolled,
2024,Architecture and building,S04,Doctorate degree,Doctorate Degree,170,number,Number of students enrolled,
2024,Architecture and building,S04,Total people,Total,25430,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Level 3 certificate,Level 3 Certificate,55,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Level 4 certificate,Level 4 Certificate,1390,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,580,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Bachelor degree,Bachelor Degree,2595,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Graduate diploma/certificate,Graduate Diploma/Certificate,35,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,495,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Masters degree,Masters Degree,985,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Doctorate degree,Doctorate Degree,160,number,Number of students enrolled,
2024,Architecture and urban environment,S0401,Total people,Total,6240,number,Number of students enrolled,
2024,Building,S0403,Level 1 certificate,Level 1 Certificate,495,number,Number of students enrolled,
2024,Building,S0403,Level 2 certificate,Level 2 Certificate,1410,number,Number of students enrolled,
2024,Building,S0403,Level 3 certificate,Level 3 Certificate,4095,number,Number of students enrolled,
