Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Ethnic group,Value,Value Unit,Value Label,Null Reason
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,185,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,15,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,50,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,15,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,250,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,European,60,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,Māori,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,Asian,10,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,Other,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Masters degree,Masters Degree,Domestic,Total,70,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,European,60,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,Māori,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,Asian,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,Other,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Doctorate degree,Doctorate Degree,Domestic,Total,65,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,European,1085,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,Māori,145,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,Pacific Peoples,180,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,Asian,445,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,Other,125,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Total people,Total,Domestic,Total,1680,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 2 certificate,Level 2 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 3 certificate,Level 3 Certificate,Domestic,Total,5,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,European,45,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,Māori,25,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,35,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,Asian,40,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,Other,20,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 4 certificate,Level 4 Certificate,Domestic,Total,135,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,15,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,5,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,5,number,Number of students enrolled,
2024,Chemical sciences,S0105,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,5,number,Number of students enrolled,
