Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2022,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,145,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,180,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,130,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,380,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,420,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,440,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,405,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,505,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,510,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,410,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,450,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,460,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,360,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2080,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2075,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2120,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2080,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2130,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2385,number,Number of students enrolled,
2018,Mathematical sciences,S0101,Total people,Total,International,1585,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2815,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2635,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2540,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,2580,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,335,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,335,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,305,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,325,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,410,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,405,number,Number of students enrolled,
