Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,65-69,948,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,70-74,761,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,75-79,600,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,80-84,473,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,85-*,430,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,total,12449,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,*-4,219,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,5-9,342,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,10-14,806,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,15-19,1305,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,20-24,1158,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,25-29,1126,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,30-34,1006,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,35-39,839,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,40-44,730,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,45-49,774,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,50-54,850,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,55-59,811,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,60-64,677,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,65-69,557,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,70-74,437,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,75-79,334,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,80-84,243,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Male,85-*,235,number,Number of hospitalisations,
