Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2023,Apprentices,Process and resources engineering,S0303,785,number,Number of people,
2024,Apprentices,Process and resources engineering,S0303,670,number,Number of people,
2015,Apprentices,Public health,S0613,20,number,Number of people,
2016,Apprentices,Public health,S0613,30,number,Number of people,
2017,Apprentices,Public health,S0613,15,number,Number of people,
2018,Apprentices,Public health,S0613,10,number,Number of people,
2019,Apprentices,Public health,S0613,10,number,Number of people,
2020,Apprentices,Public health,S0613,5,number,Number of people,
2021,Apprentices,Public health,S0613,5,number,Number of people,
2022,Apprentices,Public health,S0613,10,number,Number of people,
2023,Apprentices,Public health,S0613,5,number,Number of people,
2024,Apprentices,Public health,S0613,5,number,Number of people,
2015,Apprentices,Sales and marketing,S0805,170,number,Number of people,
2016,Apprentices,Sales and marketing,S0805,140,number,Number of people,
2017,Apprentices,Sales and marketing,S0805,105,number,Number of people,
2018,Apprentices,Sales and marketing,S0805,90,number,Number of people,
2019,Apprentices,Sales and marketing,S0805,130,number,Number of people,
2020,Apprentices,Sales and marketing,S0805,150,number,Number of people,
2021,Apprentices,Sales and marketing,S0805,1555,number,Number of people,
2022,Apprentices,Sales and marketing,S0805,1660,number,Number of people,
2023,Apprentices,Sales and marketing,S0805,1020,number,Number of people,
2024,Apprentices,Sales and marketing,S0805,550,number,Number of people,
2015,Apprentices,Sport and recreation,S0921,130,number,Number of people,
2016,Apprentices,Sport and recreation,S0921,150,number,Number of people,
2017,Apprentices,Sport and recreation,S0921,170,number,Number of people,
2018,Apprentices,Sport and recreation,S0921,185,number,Number of people,
2019,Apprentices,Sport and recreation,S0921,175,number,Number of people,
2020,Apprentices,Sport and recreation,S0921,625,number,Number of people,
2021,Apprentices,Sport and recreation,S0921,1315,number,Number of people,
