Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2016,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,2733073,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,2664396,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3233027,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3411913,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3928464,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3886278,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3796874,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,3503816,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,4755008,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,1721,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,1686,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,1862,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,3106,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,5537,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,3699,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,3227,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,3803,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Coffee, tea, mate and spices",HS09,09,5217,nzd,NZD thousands,
