Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2020,Trainees,Fisheries studies,S0507,10,number,Number of people,
2021,Trainees,Fisheries studies,S0507,5,number,Number of people,
2022,Trainees,Fisheries studies,S0507,0,number,Number of people,
2023,Trainees,Fisheries studies,S0507,0,number,Number of people,
2024,Trainees,Fisheries studies,S0507,0,number,Number of people,
2015,Trainees,Food and hospitality,S1101,11545,number,Number of people,
2016,Trainees,Food and hospitality,S1101,8830,number,Number of people,
2017,Trainees,Food and hospitality,S1101,8450,number,Number of people,
2018,Trainees,Food and hospitality,S1101,9335,number,Number of people,
2019,Trainees,Food and hospitality,S1101,8980,number,Number of people,
2020,Trainees,Food and hospitality,S1101,8465,number,Number of people,
2021,Trainees,Food and hospitality,S1101,7445,number,Number of people,
2022,Trainees,Food and hospitality,S1101,7210,number,Number of people,
2023,Trainees,Food and hospitality,S1101,7150,number,Number of people,
2024,Trainees,Food and hospitality,S1101,6235,number,Number of people,
2015,Trainees,Forestry studies,S0505,3080,number,Number of people,
2016,Trainees,Forestry studies,S0505,2845,number,Number of people,
2017,Trainees,Forestry studies,S0505,2915,number,Number of people,
2018,Trainees,Forestry studies,S0505,2835,number,Number of people,
2019,Trainees,Forestry studies,S0505,3100,number,Number of people,
2020,Trainees,Forestry studies,S0505,3700,number,Number of people,
2021,Trainees,Forestry studies,S0505,4380,number,Number of people,
2022,Trainees,Forestry studies,S0505,5515,number,Number of people,
2023,Trainees,Forestry studies,S0505,3555,number,Number of people,
2024,Trainees,Forestry studies,S0505,2765,number,Number of people,
2015,Trainees,Geomatic engineering,S0311,15,number,Number of people,
2016,Trainees,Geomatic engineering,S0311,15,number,Number of people,
2017,Trainees,Geomatic engineering,S0311,25,number,Number of people,
2018,Trainees,Geomatic engineering,S0311,35,number,Number of people,
2019,Trainees,Geomatic engineering,S0311,45,number,Number of people,
2020,Trainees,Geomatic engineering,S0311,50,number,Number of people,
2021,Trainees,Geomatic engineering,S0311,70,number,Number of people,
2022,Trainees,Geomatic engineering,S0311,90,number,Number of people,
2023,Trainees,Geomatic engineering,S0311,70,number,Number of people,
2024,Trainees,Geomatic engineering,S0311,40,number,Number of people,
2015,Trainees,Graphic and design studies,S1005,10,number,Number of people,
2016,Trainees,Graphic and design studies,S1005,10,number,Number of people,
2017,Trainees,Graphic and design studies,S1005,5,number,Number of people,
2018,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2019,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2020,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2021,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2022,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2023,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2024,Trainees,Graphic and design studies,S1005,0,number,Number of people,
2015,Trainees,Horticulture and viticulture,S0503,3145,number,Number of people,
2016,Trainees,Horticulture and viticulture,S0503,3185,number,Number of people,
2017,Trainees,Horticulture and viticulture,S0503,2320,number,Number of people,
2018,Trainees,Horticulture and viticulture,S0503,755,number,Number of people,
2019,Trainees,Horticulture and viticulture,S0503,560,number,Number of people,
2020,Trainees,Horticulture and viticulture,S0503,440,number,Number of people,
2021,Trainees,Horticulture and viticulture,S0503,565,number,Number of people,
2022,Trainees,Horticulture and viticulture,S0503,560,number,Number of people,
2023,Trainees,Horticulture and viticulture,S0503,400,number,Number of people,
2024,Trainees,Horticulture and viticulture,S0503,480,number,Number of people,
2015,Trainees,Human welfare studies and services,S0905,14460,number,Number of people,
2016,Trainees,Human welfare studies and services,S0905,12435,number,Number of people,
2017,Trainees,Human welfare studies and services,S0905,13675,number,Number of people,
2018,Trainees,Human welfare studies and services,S0905,14260,number,Number of people,
2019,Trainees,Human welfare studies and services,S0905,12930,number,Number of people,
2020,Trainees,Human welfare studies and services,S0905,12390,number,Number of people,
2021,Trainees,Human welfare studies and services,S0905,12405,number,Number of people,
2022,Trainees,Human welfare studies and services,S0905,10815,number,Number of people,
2023,Trainees,Human welfare studies and services,S0905,9200,number,Number of people,
2024,Trainees,Human welfare studies and services,S0905,7305,number,Number of people,
2015,Trainees,Justice and law enforcement,S0911,1665,number,Number of people,
2016,Trainees,Justice and law enforcement,S0911,1895,number,Number of people,
2017,Trainees,Justice and law enforcement,S0911,3330,number,Number of people,
2018,Trainees,Justice and law enforcement,S0911,4340,number,Number of people,
2019,Trainees,Justice and law enforcement,S0911,5490,number,Number of people,
2020,Trainees,Justice and law enforcement,S0911,6055,number,Number of people,
2021,Trainees,Justice and law enforcement,S0911,4815,number,Number of people,
2022,Trainees,Justice and law enforcement,S0911,4800,number,Number of people,
2023,Trainees,Justice and law enforcement,S0911,3470,number,Number of people,
2024,Trainees,Justice and law enforcement,S0911,3095,number,Number of people,
2015,Trainees,"Librarianship, information management and curatorial studies",S0913,125,number,Number of people,
2016,Trainees,"Librarianship, information management and curatorial studies",S0913,110,number,Number of people,
2017,Trainees,"Librarianship, information management and curatorial studies",S0913,110,number,Number of people,
2018,Trainees,"Librarianship, information management and curatorial studies",S0913,105,number,Number of people,
2019,Trainees,"Librarianship, information management and curatorial studies",S0913,110,number,Number of people,
2020,Trainees,"Librarianship, information management and curatorial studies",S0913,90,number,Number of people,
2021,Trainees,"Librarianship, information management and curatorial studies",S0913,60,number,Number of people,
2022,Trainees,"Librarianship, information management and curatorial studies",S0913,55,number,Number of people,
2023,Trainees,"Librarianship, information management and curatorial studies",S0913,75,number,Number of people,
2024,Trainees,"Librarianship, information management and curatorial studies",S0913,75,number,Number of people,
2015,Trainees,"Manufacturing, engineering and technology",S0301,4360,number,Number of people,
2016,Trainees,"Manufacturing, engineering and technology",S0301,4085,number,Number of people,
2017,Trainees,"Manufacturing, engineering and technology",S0301,4680,number,Number of people,
2018,Trainees,"Manufacturing, engineering and technology",S0301,2345,number,Number of people,
2019,Trainees,"Manufacturing, engineering and technology",S0301,2480,number,Number of people,
2020,Trainees,"Manufacturing, engineering and technology",S0301,2270,number,Number of people,
2021,Trainees,"Manufacturing, engineering and technology",S0301,3170,number,Number of people,
2022,Trainees,"Manufacturing, engineering and technology",S0301,4985,number,Number of people,
2023,Trainees,"Manufacturing, engineering and technology",S0301,2840,number,Number of people,
2024,Trainees,"Manufacturing, engineering and technology",S0301,730,number,Number of people,
2015,Trainees,Maritime engineering and technology,S0317,1495,number,Number of people,
2016,Trainees,Maritime engineering and technology,S0317,1430,number,Number of people,
2017,Trainees,Maritime engineering and technology,S0317,1100,number,Number of people,
2018,Trainees,Maritime engineering and technology,S0317,490,number,Number of people,
2019,Trainees,Maritime engineering and technology,S0317,770,number,Number of people,
2020,Trainees,Maritime engineering and technology,S0317,770,number,Number of people,
2021,Trainees,Maritime engineering and technology,S0317,570,number,Number of people,
2022,Trainees,Maritime engineering and technology,S0317,505,number,Number of people,
2023,Trainees,Maritime engineering and technology,S0317,230,number,Number of people,
2024,Trainees,Maritime engineering and technology,S0317,15,number,Number of people,
2015,Trainees,Mechanical and industrial engineering and technology,S0307,775,number,Number of people,
2016,Trainees,Mechanical and industrial engineering and technology,S0307,735,number,Number of people,
2017,Trainees,Mechanical and industrial engineering and technology,S0307,660,number,Number of people,
2018,Trainees,Mechanical and industrial engineering and technology,S0307,680,number,Number of people,
2019,Trainees,Mechanical and industrial engineering and technology,S0307,550,number,Number of people,
2020,Trainees,Mechanical and industrial engineering and technology,S0307,325,number,Number of people,
2021,Trainees,Mechanical and industrial engineering and technology,S0307,565,number,Number of people,
2022,Trainees,Mechanical and industrial engineering and technology,S0307,655,number,Number of people,
2023,Trainees,Mechanical and industrial engineering and technology,S0307,280,number,Number of people,
2024,Trainees,Mechanical and industrial engineering and technology,S0307,245,number,Number of people,
2015,Trainees,Nursing,S0603,0,number,Number of people,
2016,Trainees,Nursing,S0603,0,number,Number of people,
2017,Trainees,Nursing,S0603,0,number,Number of people,
2018,Trainees,Nursing,S0603,0,number,Number of people,
2019,Trainees,Nursing,S0603,0,number,Number of people,
2020,Trainees,Nursing,S0603,0,number,Number of people,
2021,Trainees,Nursing,S0603,0,number,Number of people,
2022,Trainees,Nursing,S0603,0,number,Number of people,
2023,Trainees,Nursing,S0603,0,number,Number of people,
2024,Trainees,Nursing,S0603,120,number,Number of people,
2015,Trainees,Office administration,S0809,220,number,Number of people,
2016,Trainees,Office administration,S0809,170,number,Number of people,
2017,Trainees,Office administration,S0809,135,number,Number of people,
2018,Trainees,Office administration,S0809,165,number,Number of people,
2019,Trainees,Office administration,S0809,175,number,Number of people,
2020,Trainees,Office administration,S0809,135,number,Number of people,
2021,Trainees,Office administration,S0809,95,number,Number of people,
2022,Trainees,Office administration,S0809,75,number,Number of people,
2023,Trainees,Office administration,S0809,40,number,Number of people,
2024,Trainees,Office administration,S0809,5,number,Number of people,
2015,Trainees,"Other agriculture, environmental and related studies",S0599,190,number,Number of people,
2016,Trainees,"Other agriculture, environmental and related studies",S0599,355,number,Number of people,
2017,Trainees,"Other agriculture, environmental and related studies",S0599,1285,number,Number of people,
2018,Trainees,"Other agriculture, environmental and related studies",S0599,1650,number,Number of people,
2019,Trainees,"Other agriculture, environmental and related studies",S0599,1360,number,Number of people,
2020,Trainees,"Other agriculture, environmental and related studies",S0599,1125,number,Number of people,
2021,Trainees,"Other agriculture, environmental and related studies",S0599,2110,number,Number of people,
2022,Trainees,"Other agriculture, environmental and related studies",S0599,4170,number,Number of people,
2023,Trainees,"Other agriculture, environmental and related studies",S0599,2065,number,Number of people,
2024,Trainees,"Other agriculture, environmental and related studies",S0599,1340,number,Number of people,
2015,Trainees,Other engineering and related technologies,S0399,5045,number,Number of people,
2016,Trainees,Other engineering and related technologies,S0399,2750,number,Number of people,
2017,Trainees,Other engineering and related technologies,S0399,2440,number,Number of people,
2018,Trainees,Other engineering and related technologies,S0399,1610,number,Number of people,
2019,Trainees,Other engineering and related technologies,S0399,2130,number,Number of people,
2020,Trainees,Other engineering and related technologies,S0399,2365,number,Number of people,
2021,Trainees,Other engineering and related technologies,S0399,2100,number,Number of people,
2022,Trainees,Other engineering and related technologies,S0399,2225,number,Number of people,
2023,Trainees,Other engineering and related technologies,S0399,1700,number,Number of people,
2024,Trainees,Other engineering and related technologies,S0399,1625,number,Number of people,
2015,Trainees,Other health,S0699,1205,number,Number of people,
2016,Trainees,Other health,S0699,2375,number,Number of people,
2017,Trainees,Other health,S0699,2820,number,Number of people,
2018,Trainees,Other health,S0699,2755,number,Number of people,
2019,Trainees,Other health,S0699,2080,number,Number of people,
2020,Trainees,Other health,S0699,1870,number,Number of people,
2021,Trainees,Other health,S0699,870,number,Number of people,
2022,Trainees,Other health,S0699,720,number,Number of people,
2023,Trainees,Other health,S0699,1025,number,Number of people,
2024,Trainees,Other health,S0699,1150,number,Number of people,
2015,Trainees,Other management and commerce,S0899,60,number,Number of people,
2016,Trainees,Other management and commerce,S0899,25,number,Number of people,
2017,Trainees,Other management and commerce,S0899,20,number,Number of people,
2018,Trainees,Other management and commerce,S0899,10,number,Number of people,
2019,Trainees,Other management and commerce,S0899,5,number,Number of people,
2020,Trainees,Other management and commerce,S0899,0,number,Number of people,
2021,Trainees,Other management and commerce,S0899,0,number,Number of people,
2022,Trainees,Other management and commerce,S0899,0,number,Number of people,
2023,Trainees,Other management and commerce,S0899,0,number,Number of people,
2024,Trainees,Other management and commerce,S0899,0,number,Number of people,
2015,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2016,Trainees,Other natural and physical sciences,S0199,5,number,Number of people,
2017,Trainees,Other natural and physical sciences,S0199,5,number,Number of people,
2018,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2019,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2020,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2021,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2022,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2023,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2024,Trainees,Other natural and physical sciences,S0199,0,number,Number of people,
2015,Trainees,Other society and culture,S0999,1690,number,Number of people,
2016,Trainees,Other society and culture,S0999,1735,number,Number of people,
2017,Trainees,Other society and culture,S0999,1460,number,Number of people,
2018,Trainees,Other society and culture,S0999,1570,number,Number of people,
2019,Trainees,Other society and culture,S0999,1750,number,Number of people,
2020,Trainees,Other society and culture,S0999,1160,number,Number of people,
2021,Trainees,Other society and culture,S0999,580,number,Number of people,
2022,Trainees,Other society and culture,S0999,315,number,Number of people,
2023,Trainees,Other society and culture,S0999,445,number,Number of people,
