Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2023,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Percentage of total stated,0.02870411425638,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Count,9,number,Number of people,
2013,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Percentage of total stated,0.0003046820490477,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Count,6,number,Number of people,
2018,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Percentage of total stated,0.0001711168454267,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Count,0,number,Number of people,
2023,Census usually resident population,15-*,Other natural and physical sciences not further defined,S019900,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Medical science,S019901,Count,1767,number,Number of people,
2013,Census usually resident population,15-*,Medical science,S019901,Percentage of total stated,0.05981924229637,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Medical science,S019901,Count,2076,number,Number of people,
2018,Census usually resident population,15-*,Medical science,S019901,Percentage of total stated,0.05920642851765,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Medical science,S019901,Count,3012,number,Number of people,
2023,Census usually resident population,15-*,Medical science,S019901,Percentage of total stated,0.07810008323415,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Forensic science,S019903,Count,306,number,Number of people,
2013,Census usually resident population,15-*,Forensic science,S019903,Percentage of total stated,0.01035918966762,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Forensic science,S019903,Count,462,number,Number of people,
2018,Census usually resident population,15-*,Forensic science,S019903,Percentage of total stated,0.01317599709786,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Forensic science,S019903,Count,600,number,Number of people,
2023,Census usually resident population,15-*,Forensic science,S019903,Percentage of total stated,0.01555778550481,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Food science and biotechnology,S019905,Count,3084,number,Number of people,
2013,Census usually resident population,15-*,Food science and biotechnology,S019905,Percentage of total stated,0.1044043821404,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Food science and biotechnology,S019905,Count,3828,number,Number of people,
2018,Census usually resident population,15-*,Food science and biotechnology,S019905,Percentage of total stated,0.1091725473823,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Food science and biotechnology,S019905,Count,4944,number,Number of people,
2023,Census usually resident population,15-*,Food science and biotechnology,S019905,Percentage of total stated,0.1281961525596,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Pharmacology,S019907,Count,684,number,Number of people,
2013,Census usually resident population,15-*,Pharmacology,S019907,Percentage of total stated,0.02315583572763,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Pharmacology,S019907,Count,834,number,Number of people,
2018,Census usually resident population,15-*,Pharmacology,S019907,Percentage of total stated,0.02378524151432,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Pharmacology,S019907,Count,951,number,Number of people,
2023,Census usually resident population,15-*,Pharmacology,S019907,Percentage of total stated,0.02465909002513,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Laboratory technology,S019909,Count,2340,number,Number of people,
2013,Census usually resident population,15-*,Laboratory technology,S019909,Percentage of total stated,0.07921733275241,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Laboratory technology,S019909,Count,3783,number,Number of people,
2018,Census usually resident population,15-*,Laboratory technology,S019909,Percentage of total stated,0.1078891710416,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Laboratory technology,S019909,Count,4443,number,Number of people,
2023,Census usually resident population,15-*,Laboratory technology,S019909,Percentage of total stated,0.1152054016631,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Count,1470,number,Number of people,
2013,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Percentage of total stated,0.04976473467779,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Count,3396,number,Number of people,
2018,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Percentage of total stated,0.09685213451153,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Count,5676,number,Number of people,
2023,Census usually resident population,15-*,Natural and physical sciences not elsewhere classified,S019999,Percentage of total stated,0.1471766508755,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Information technology not further defined,S0200,Count,2832,number,Number of people,
2013,Census usually resident population,15-*,Information technology not further defined,S0200,Percentage of total stated,0.09587328476701,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Information technology not further defined,S0200,Count,9681,number,Number of people,
2018,Census usually resident population,15-*,Information technology not further defined,S0200,Percentage of total stated,0.276097030096,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Information technology not further defined,S0200,Count,15156,number,Number of people,
2023,Census usually resident population,15-*,Information technology not further defined,S0200,Percentage of total stated,0.3929896618515,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Computer science not further defined,S020100,Count,26322,number,Number of people,
2013,Census usually resident population,15-*,Computer science not further defined,S020100,Percentage of total stated,0.8910934327816,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Computer science not further defined,S020100,Count,19827,number,Number of people,
2018,Census usually resident population,15-*,Computer science not further defined,S020100,Percentage of total stated,0.5654556157126,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Computer science not further defined,S020100,Count,23127,number,Number of people,
2023,Census usually resident population,15-*,Computer science not further defined,S020100,Percentage of total stated,0.5996748422829,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Formal language theory,S020101,Count,0,number,Number of people,
2013,Census usually resident population,15-*,Formal language theory,S020101,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Formal language theory,S020101,Count,6,number,Number of people,
2018,Census usually resident population,15-*,Formal language theory,S020101,Percentage of total stated,0.0001711168454267,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Formal language theory,S020101,Count,6,number,Number of people,
2023,Census usually resident population,15-*,Formal language theory,S020101,Percentage of total stated,0.0001555778550481,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Computer applications and programming,S020103,Count,1356,number,Number of people,
2013,Census usually resident population,15-*,Computer applications and programming,S020103,Percentage of total stated,0.04590542872319,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Computer applications and programming,S020103,Count,2223,number,Number of people,
2018,Census usually resident population,15-*,Computer applications and programming,S020103,Percentage of total stated,0.0633987912306,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Computer applications and programming,S020103,Count,2580,number,Number of people,
