Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,40-*,75,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,total,640,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,18-19,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,20-24,735,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,25-39,715,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,40-*,200,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Total,total,1655,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,20-24,80,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,25-39,475,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,40-*,75,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Female,total,635,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,20-24,60,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,25-39,340,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,40-*,45,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Male,total,445,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,20-24,145,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,25-39,825,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,40-*,120,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Doctorate degree,Doctorate Degree,Domestic,Total,total,1090,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,*-17,95,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,18-19,3920,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,20-24,6355,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,25-39,3120,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,40-*,1045,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Female,total,14540,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,*-17,55,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,18-19,2760,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,20-24,4785,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,25-39,1860,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,40-*,450,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Male,total,9910,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,*-17,150,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,18-19,6755,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,20-24,11300,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,25-39,5035,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,40-*,1500,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Total people,Total,Domestic,Total,total,24740,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,20-24,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,25-39,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,40-*,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Female,total,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,25-39,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Male,total,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,20-24,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,25-39,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,40-*,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 1 certificate,Level 1 Certificate,Domestic,Total,total,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Level 2 certificate,Level 2 Certificate,Domestic,Female,18-19,5,number,Number of students enrolled,
