X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,NeedsChecking,SubType,PopUp,created_user,created_date,last_edited_user,last_edited_date,Shape
1777258.0089,5448213.2957,283,Tilley Tilt,Benge Hall Reserve,{42172932-F380-4298-80E2-F7910B1032A2},Rubbish Bin,Tilley Tilt Rubbish Bin at back if iSite,,,Rubbish Bin,,,,,
1771091.5943,5444102.2395,284,Recycled Plastic,Tawai Park,{C38B224D-98ED-4BAE-A4D6-7C743974A090},Picnic Table,Premier Picnic Setting - Brown Replas,,,Picnic Table,,,,,
1774771.4023,5446963.6165,285,Recycled Plastic,Turon Park,{13A560E4-6929-4154-8A35-CF4A8F91CF49},Picnic Table,Premier Picnic Setting - Brown Replas,,,Picnic Table,,,,,
1775710.0491,5447573.4537,286,Recycling,Harcourt Park,{F23D9FB9-0421-4E10-9F0E-2CE573AF6503},Rubbish Bin,PRIVATE: Aluminium Can Recycling Bin,,Private,Rubbish Bin,,,,,
1775520.2781,5446355.7137,287,Tilley Tilt,Māoribank Park,{6F686741-A88D-46FD-8971-5B9C1EDFA576},Rubbish Bin,Tilley Tilt bin at end of path from Fergsusson Drive,,,Rubbish Bin,,,LCARTER,2023/11/22 21:14:57+00,
1775249.9997,5447475.2863,288,Exercise Bars,California Park,{6D2178E7-40F1-4433-8BB7-4779FBF7B083},Sport & Recreation,Exercise Bars by Path,,,Exercise Bars,,,,,
1769020.9991,5441706.5421,289,,Pinehaven Reserve,{A979B31A-D578-4D11-801B-527B6FC304AD},Dog Bag Dispenser,Dog Dispenser next to Rubbish Bin,,,Dog Bag Dispenser,,,,,
1776752.9647,5447278.0901,290,Recycled Plastic,Timberlea Park,{18F82603-4573-47E6-B5A4-2A3F4DF60568},Picnic Table,Premier Setting Picnic Table and seats - Surface Mounted,,,Picnic Table,,,,,
1769098.1357,5443681.0973,291,,Heretaunga Park,{C087DE2F-77D0-4730-8BCE-A3E8E6907EBE},Dog Bag Dispenser,Dog Bag Dispenser at entrance to park of Kiwi Street,,,Dog Bag Dispenser,,,,,
1770160.6093,5444442.4701,292,,Trentham Memorial Park,{0483F295-EEEA-4768-8A4F-CCFD65C77656},Dog Bag Dispenser,Dog Bag Dispenser by clubroom off Barton Rd carpark,,,Dog Bag Dispenser,,,,,
1770585.1755,5444590.4906,293,,Trentham Memorial Park,{AB2343D6-E321-4E17-B623-84A440154F82},Dog Bag Dispenser,Dog Bag Dispenser by path to Brentwood Carpark,,,Dog Bag Dispenser,,,,,
1775893.8821,5447987.5759,294,,Harcourt Park,{77997043-886B-49FD-9DE0-769D636449B4},Dog Bag Dispenser,Dog Bag Dispenser by Harcourt Carpark,,,Dog Bag Dispenser,,,,,
1774348.0685,5445211.6711,295,,Maidstone Park,{35F362CA-BD6C-4D9F-8F5C-9D87C4857867},Drinking Fountain,"tww215.11sqstdb Square Stainless Steel Traditional Push Button Drinking fountain and bottle filler, Self Draining Dog drinker",,,Drinking Fountain,,,,,
1773794.9954,5445199.4463,296,Recycling,Railway Green Space,{F0B5C57A-1B78-439A-85D8-F61BFFE7D039},Rubbish Bin,3 Bay Recycling Bins by path towards Railway Station,,3 Bay,Rubbish Bin,,,,,
1770214.4502,5444377.0625,297,Tilley Tilt,Trentham Memorial Park,{B17C02F2-5958-468C-83DA-4FC6C70EF831},Rubbish Bin,Tilley Tilt Rubbish Bin by Barton Carpark,,,Rubbish Bin,,,,,
1770179.0883,5444907.9296,298,,Trentham Memorial Park,{CEB424EA-50EF-4A91-BC8A-940AA065FEDB},Dog Bag Dispenser,Dog Dispenser Bin mounted on post by Gate to Moonshine Park,,,Dog Bag Dispenser,,,,,
1770772.9868,5444209.5597,299,Tilley Tilt,Trentham Memorial Park,{85E2BB71-16DB-40CE-8332-2AD916FEEC94},Rubbish Bin,Tillet Tilt Rubbish Bin by Noticeboard by footbridge from Fergusson Drive,,,Rubbish Bin,,,,,
1770656.8214,5444495.5745,300,Tilley Tilt,Trentham Memorial Park,{4F4CADE5-6862-4FCC-A622-F4D699311CE6},Rubbish Bin,Tilley Tilt Rubbish Bin outside Brentwood Changing Rooms,,,Rubbish Bin,,,,,
1772369.095,5444283.0026,301,Basketball Half Court,Grants Bush,{8E9F5ECC-680C-4512-9F2D-2F58981AECAC},Sport & Recreation,Basketball Hoop at Grants Bush,,Hoop,Basketball Half Court,,,LCARTER,2024/08/30 01:26:46+00,
1772382.7555,5444296.8007,302,Tilley Tilt,Grants Bush,{657F06C5-86AB-41F8-B67F-FE672093B8F6},Rubbish Bin,Rubbish Bin mounted on concrete pad by Bushland fence,,,Rubbish Bin,,,,,
1772494.4343,5444223.9242,303,Recycled Plastic,Grants Bush,{28D9B95F-7360-4B6E-8547-E545CA77CBB3},Picnic Table,Recycled Picnic Table and bench seats under Shelter,,,Picnic Table,,,LCARTER,2024/08/30 01:26:46+00,
1772500.9275,5444221.6095,304,,Grants Bush,{239390DE-1A3C-403C-AA1B-3A15A54607DD},Dog Bag Dispenser,Dog Bag Dispenser mounted on Shelter post,,,Dog Bag Dispenser,,,,,
1772474.0329,5444225.7021,305,Tilley Tilt,Grants Bush,{4DCC3CDE-78E6-48F7-BE7F-31AD8305EC42},Rubbish Bin,Rubbish Bin by entrance to bushwalk behind playground,,,Rubbish Bin,,,,,
1774892.589,5446212.7945,306,Recycled Plastic,Benge Park,{EE157A45-249D-4308-9871-B592D9AC9FE4},Picnic Table,Recycled Picnic Table with bench seats mounted on concrete pad under Shelter,,,Picnic Table,,,LCARTER,2024/08/30 00:39:07+00,
1770347.3871,5443151.0129,307,Recycled Plastic,Pinehill Reserve,{BC1A0E0E-074F-4D91-916B-D1F1407CA43C},Picnic Table,Recycled Picnic Table with seats mounted on concrete under Shelter,,,Picnic Table,,,,,
1770131.0727,5444484.9661,308,Tilley Tilt,Trentham Memorial Park,{4E6EFE2B-CA0B-41E3-AB56-DC8E12B7E58F},Rubbish Bin,"Tilly tilt stained (cricket club, outside cricket cafe)",,,Rubbish Bin,,,,,
