OBJECTID,Reference,Category,Location,TotalArea,Playground,Reserve_Name,DisplayOrder,Image,Shape__Area,Shape__Length
26,CS02,CivicSpace,Flaxmere,0.9121,No,Flaxmere Library and Community Centre,9,Yes,9294.3330078125,503.111945856073
27,SR07,SportRecreation,Hastings,19.1726,Yes,Frimley Park,1,Yes,196475.29296875,1976.85376443889
28,SR09,SportRecreation,Hastings,3.6345,Yes,Kirkpatrick Park,1,Yes,36410.1123046875,873.016715335765
29,SR10,SportRecreation,Hastings,30.1807,No,Regional Sports Park,1,Yes,289608.118164062,2491.43051316415
30,SR14,SportRecreation,Hastings,4.8748,Yes,St Leonards Park,1,Yes,48817.841796875,1174.85950602277
31,L33,LinkageUrban,Hastings,0.3935,No,Arbuckle Reserve,8,No,3941.0380859375,465.474725928515
32,L34,LinkageUrban,Hastings,0.1437,No,Barcroft Reserve,8,No,1440.373046875,187.118340499352
33,L37,LinkageUrban,Hastings,0.2610,No,Edwards Reserve,8,No,2613.736328125,242.663174015301
34,L39,LinkageUrban,Hastings,0.1657,No,Frimley Park (Pakowhai Corner),8,No,1669.720703125,163.100137359946
35,L40,LinkageUrban,Hastings,0.0959,No,Greenlea Reserves,8,No,1290.181640625,300.830858933699
36,L43,LinkageUrban,Hastings,0.0539,No,Kain Place Reserve,8,No,541.1142578125,128.149322732736
