RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,UNITID,COMPKEY,COMPTYPE,Managed,Owner,Hectares,In_Parks_Maintenance_Contract,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
Trentham Memorial Park,Trentham Memorial Park,Destination Park,142,TMP-PARK,88188,18,Yes,UHCC,43.3320574,Yes,{6C442712-7B20-4F8B-A371-0467F915C6C0},,,,,431973.65725324,3003.19725559165
Pākuratahi Park,Pākuratahi Park,Nature Reserve,144,PAKURATI01-PARK,89406,18,Yes,UHCC,0.46286587,No,{010546B5-23DE-43EC-B2ED-3F61AE15AD7F},,,,,4079.42109292,373.55402938811
Clouston Park,Clouston Park,Community Park,145,CLOUSTON PARK,88029,18,Yes,UHCC,9.42987044,Yes,{A876C1E2-7D8E-4C4A-B267-C19E77864213},,,,,31057.395094475,1077.9295173835
Pumpkin Cottage Park,Pumpkin Cottage Park,Neighbourhood Park,146,PUMPKIN-PARK,88065,18,Yes,UHCC,2.32554429,Yes,{D2583F02-81B6-4B73-A860-1E10D7EFC492},,,,,24375.175282575,1182.40477111586
Moehau Park,Moehau Park,Community Park,147,MOEHAU-PARK,88148,18,Yes,UHCC,8.94804216,Yes,{90A6FE31-E5E0-4BFA-B9AE-49A116A9710C},,,,,55281.675679245,1454.51759094292
Māoribank Park,Māoribank Park,Community Park,148,MAORIBANK-PARK,87920,18,Yes,GWRC,6.87126389,Yes,{8007019F-68F6-4FF8-A32A-98F79ED71E91},,,,,67142.20997063,2178.72515358513
Benge Park,Benge Park,Community Park,149,BENGE-PARK,87884,18,Yes,UHCC,0.99476305,Yes,{3E4FC252-0F3A-4B0F-ACD2-1B4229F2BFA6},,,,,9950.73674756,559.927798833847
Maidstone Bush,Maidstone Bush,Nature Reserve,151, ,0,18,Yes,UHCC,1.31686983,No,{F084CBF1-7FD0-4209-8569-0087A16056DE},,,,,13694.42254262,594.549871222424
Maidstone Max,Maidstone Max,Destination Park,153, ,0,0,Yes,UHCC,1.06165018,Yes,{4DF22198-0689-424D-BE14-3FBE2B6158BB},,,,,11565.40293471,494.729880204956
Maidstone Park,Maidstone Park,Destination Park,154,MAIDSTONE-PARK,88994,0,Yes,UHCC,14.16880448,Yes,{071DAE87-2FDC-4166-9480-6A8D0B386F60},,,,,141644.604464945,1969.38965811528
Maidstone Bush,Maidstone Bush,Nature Reserve,156, ,0,18,Yes,UHCC,41.28347429,Yes,{84FF8A8D-218B-4F28-BD22-C8758461B725},,,,,410839.359631325,5182.01546647531
CBD Greenspace,The Greenspace,Pocket Park,159,,,,Yes,Upper Hutt City Council - Parks,,,{5358DF8C-A410-4CE8-BD2B-D39A212EC7FC},LHEYMANNS,2025/09/29 03:11:50+00,LHEYMANNS,2025/09/29 03:13:51+00,839.06823972,122.286582342886
