Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Disability status,"Non-disabled (rated 'Yes, some difficulty' or 'No, no difficulty')",92.6,percentage,% of young people,,"When all of the above statements are rated 'Yes, some difficulty' or 'No, no difficulty'"
2023,Which of the following have you done in the last 7 days?,Cycling or biking,Age group,5-7,33.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,Low,93.4,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,Medium,91.9,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Neighbourhood deprivation,High,89.5,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Participated last 7 days,100,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Not participated last 7 days,0,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Less than 30 minutes in last 7 days,5.4,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,30-149 minutes in last 7 days,100,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,150 to 419 minutes in last 7 days,100,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Meeting guidelines: 420 minutes or more in last 7 days,100,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Participation in physical activities in the last 7 days,Not meeting guidelines: Less than 420 minutes in last 7 days,81.999999999999995,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Northland,90.2,percentage,% of young people,
