Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",1746.1,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",669.1,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",146.5,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",103.5,number,Thousands of hours,
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,2017.7,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,467.9,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,881.6,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,442.4,number,Thousands of hours,
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",834,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",429.7,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,number,Thousands of hours,suppressed
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,number,Thousands of hours,suppressed
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",1784.7,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",574.9,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",51.1,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",96.7,number,Thousands of hours,
