Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2010,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",75,number,Number of people,
2011,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",55,number,Number of people,
2012,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",45,number,Number of people,
2013,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",20,number,Number of people,
2014,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",25,number,Number of people,
2015,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",15,number,Number of people,
2016,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",10,number,Number of people,
2017,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",5,number,Number of people,
2018,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",5,number,Number of people,
2009,Apprentices,Community Support or Social Services Professionals,1515,number,Number of people,
2010,Apprentices,Community Support or Social Services Professionals,1035,number,Number of people,
2011,Apprentices,Community Support or Social Services Professionals,410,number,Number of people,
2012,Apprentices,Community Support or Social Services Professionals,280,number,Number of people,
2013,Apprentices,Community Support or Social Services Professionals,245,number,Number of people,
2014,Apprentices,Community Support or Social Services Professionals,240,number,Number of people,
2015,Apprentices,Community Support or Social Services Professionals,220,number,Number of people,
2016,Apprentices,Community Support or Social Services Professionals,400,number,Number of people,
2017,Apprentices,Community Support or Social Services Professionals,1310,number,Number of people,
2018,Apprentices,Community Support or Social Services Professionals,2165,number,Number of people,
2009,Apprentices,"Concreters, Brick & Block Layers",240,number,Number of people,
2010,Apprentices,"Concreters, Brick & Block Layers",220,number,Number of people,
2011,Apprentices,"Concreters, Brick & Block Layers",155,number,Number of people,
2012,Apprentices,"Concreters, Brick & Block Layers",270,number,Number of people,
2013,Apprentices,"Concreters, Brick & Block Layers",355,number,Number of people,
2014,Apprentices,"Concreters, Brick & Block Layers",450,number,Number of people,
2015,Apprentices,"Concreters, Brick & Block Layers",420,number,Number of people,
2016,Apprentices,"Concreters, Brick & Block Layers",440,number,Number of people,
2017,Apprentices,"Concreters, Brick & Block Layers",490,number,Number of people,
2018,Apprentices,"Concreters, Brick & Block Layers",480,number,Number of people,
2009,Apprentices,Crane Operation Professionals,0,number,Number of people,
2010,Apprentices,Crane Operation Professionals,0,number,Number of people,
2011,Apprentices,Crane Operation Professionals,0,number,Number of people,
2012,Apprentices,Crane Operation Professionals,0,number,Number of people,
2013,Apprentices,Crane Operation Professionals,0,number,Number of people,
2014,Apprentices,Crane Operation Professionals,0,number,Number of people,
2015,Apprentices,Crane Operation Professionals,15,number,Number of people,
2016,Apprentices,Crane Operation Professionals,20,number,Number of people,
2017,Apprentices,Crane Operation Professionals,5,number,Number of people,
2018,Apprentices,Crane Operation Professionals,0,number,Number of people,
2009,Apprentices,Dairy Manufacturing Professionals,20,number,Number of people,
2010,Apprentices,Dairy Manufacturing Professionals,10,number,Number of people,
2011,Apprentices,Dairy Manufacturing Professionals,5,number,Number of people,
2012,Apprentices,Dairy Manufacturing Professionals,5,number,Number of people,
2013,Apprentices,Dairy Manufacturing Professionals,0,number,Number of people,
2014,Apprentices,Dairy Manufacturing Professionals,0,number,Number of people,
2015,Apprentices,Dairy Manufacturing Professionals,0,number,Number of people,
2016,Apprentices,Dairy Manufacturing Professionals,30,number,Number of people,
2017,Apprentices,Dairy Manufacturing Professionals,205,number,Number of people,
2018,Apprentices,Dairy Manufacturing Professionals,290,number,Number of people,
2009,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4255,number,Number of people,
2010,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4095,number,Number of people,
2011,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",3535,number,Number of people,
2012,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",3470,number,Number of people,
2013,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",3645,number,Number of people,
2014,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4200,number,Number of people,
2015,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4325,number,Number of people,
2016,Apprentices,"Electrical or Electronic Engineers, Electricians, Electrical Fitters, Electrical Technicians",4885,number,Number of people,
